mall1 POLYGON ((-122.2 47.5, -122.2 47.6, -122.3 47.6, -122.3 47.5, -122.2 47.5))
mall24 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall25 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall26 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall27 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall28 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall29 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall30 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall31 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall32 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall33 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall34 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall35 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall36 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall37 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall38 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall39 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall40 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall41 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall42 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall43 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall44 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall45 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall46 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall47 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall48 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall49 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall50 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall51 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall52 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall53 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall54 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall55 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall56 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall57 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall58 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall59 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall60 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall61 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall62 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall63 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall64 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall65 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall66 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall67 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall68 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall69 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall70 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall71 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall72 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall73 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall74 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall75 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall76 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall77 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall78 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall79 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall80 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall81 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall82 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall83 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall84 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall85 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall86 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall87 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall88 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall89 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall90 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall91 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall92 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall93 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall94 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall95 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall96 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall97 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall98 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall99 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall100 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall101 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall102 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall103 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall104 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall105 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall106 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall107 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall108 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall109 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall110 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall111 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall112 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall113 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall114 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall115 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall116 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall117 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall118 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall119 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall120 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall121 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall122 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall123 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall124 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall125 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall126 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall127 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall128 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall129 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall130 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall131 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall132 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall133 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall134 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall135 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall136 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall137 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall138 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall139 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall140 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall141 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall142 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall143 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall144 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall145 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall146 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall147 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall148 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall149 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall150 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall151 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall152 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall153 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall154 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall155 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall156 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall157 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall158 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall159 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall160 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall161 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall162 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall163 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall164 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall165 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall166 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall167 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall168 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall169 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall170 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall171 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall172 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall173 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall174 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall175 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall176 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall177 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall178 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall179 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall180 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall181 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall182 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall183 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall184 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall185 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall186 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall187 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall188 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall189 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall190 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall191 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall192 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall193 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall194 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall195 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall196 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall197 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall198 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall199 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall200 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall201 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall202 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall203 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall204 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall205 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall206 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall207 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall208 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall209 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall210 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall211 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall212 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall213 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall214 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall215 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall216 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall217 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall218 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall219 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall220 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall221 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall222 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall223 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall224 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall225 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall226 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall227 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall228 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall229 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall230 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall231 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall232 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall233 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall234 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall235 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall236 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall237 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall238 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall239 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall240 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall241 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall242 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall243 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall244 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall245 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall246 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall247 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
mall248 POLYGON((-122.2 47.5, -122.2 47.6, -122.3 47.6,-122.3 47.5, -122.2 47.5))
